,name,sex,births,year
0,William,M,696,2013
1,Charlotte,F,613,2013
2,Braxton,M,189,2013
3,Bella,F,131,2013
4,Oliver,M,630,2013
5,Olivia,F,551,2013
6,Christian,M,188,2013
7,Mila,F,129,2013
8,Jack,M,574,2013
9,Amelia,F,540,2013
10,Edward,M,187,2013
11,Summer,F,128,2013
12,Noah,M,555,2013
13,Chloe,F,517,2013
14,George,M,181,2013
15,Lara,F,125,2013
16,James,M,510,2013
17,Mia,F,517,2013
18,Luke,M,178,2013
19,Addison,F,121,2013
20,Lucas,M,471,2013
21,Emily,F,504,2013
22,Hugo,M,176,2013
23,Lilly,F,121,2013
24,Thomas,M,468,2013
25,Isabella,F,486,2013
26,Eli,M,171,2013
27,Victoria,F,120,2013
28,Lachlan,M,454,2013
29,Ava,F,483,2013
30,Luca,M,167,2013
31,Violet,F,117,2013
32,Cooper,M,453,2013
33,Sophie,F,449,2013
34,Nathan,M,161,2013
35,Poppy,F,117,2013
36,Liam,M,447,2013
37,Ruby,F,426,2013
38,Chase,M,161,2013
39,Anna,F,115,2013
40,Ethan,M,445,2013
41,Sophia,F,407,2013
42,Ashton,M,161,2013
43,Claire,F,114,2013
44,Jacob,M,428,2013
45,Ella,F,389,2013
46,Beau,M,160,2013
47,Phoebe,F,110,2013
48,Alexander,M,428,2013
49,Sienna,F,375,2013
50,Blake,M,159,2013
51,Lola,F,109,2013
52,Isaac,M,412,2013
53,Grace,F,369,2013
54,Lincoln,M,158,2013
55,Alyssa,F,108,2013
56,Joshua,M,408,2013
57,Lily,F,315,2013
58,Dylan,M,155,2013
59,Maya,F,107,2013
60,Samuel,M,399,2013
61,Ivy,F,312,2013
62,Marcus,M,153,2013
63,Aria,F,105,2013
64,Harrison,M,356,2013
65,Zoe,F,308,2013
66,Hayden,M,152,2013
67,Madeleine,F,104,2013
68,Benjamin,M,348,2013
69,Matilda,F,300,2013
70,Finn,M,150,2013
71,Eloise,F,103,2013
72,Mason,M,346,2013
73,Isla,F,299,2013
74,Kai,M,148,2013
75,Eliza,F,102,2013
76,Max,M,337,2013
77,Emma,F,282,2013
78,Archer,M,148,2013
79,Alexandra,F,100,2013
80,Charlie,M,326,2013
81,Evie,F,249,2013
82,Caleb,M,148,2013
83,Holly,F,100,2013
84,Jayden,M,321,2013
85,Hannah,F,248,2013
86,Nate,M,140,2013
87,Eden,F,99,2013
88,Henry,M,311,2013
89,Harper,F,237,2013
90,Toby,M,140,2013
91,Indiana,F,99,2013
92,Daniel,M,302,2013
93,Scarlett,F,237,2013
94,Connor,M,139,2013
95,Aaliyah,F,98,2013
96,Hunter,M,298,2013
97,Lucy,F,235,2013
98,Ali,M,138,2013
99,Molly,F,97,2013
100,William,M,639,2012
101,Ruby,F,564,2012
102,Braxton,M,192,2012
103,Hayley,F,133,2012
104,Lucas,M,571,2012
105,Charlotte,F,549,2012
106,Joseph,M,191,2012
107,Stella,F,131,2012
108,Oliver,M,569,2012
109,Emily,F,546,2012
110,Eli,M,187,2012
111,Holly,F,127,2012
112,Noah,M,568,2012
113,Olivia,F,540,2012
114,Jaxon,M,187,2012
115,Alyssa,F,125,2012
116,Jack,M,565,2012
117,Chloe,F,530,2012
118,Adam,M,183,2012
119,Rose,F,124,2012
120,Ethan,M,549,2012
121,Amelia,F,522,2012
122,Hayden,M,182,2012
123,Imogen,F,124,2012
124,Thomas,M,515,2012
125,Mia,F,519,2012
126,Marcus,M,180,2012
127,Mackenzie,F,124,2012
128,Lachlan,M,515,2012
129,Sophie,F,494,2012
130,Christian,M,179,2012
131,Addison,F,124,2012
132,Joshua,M,514,2012
133,Isabella,F,489,2012
134,Luca,M,169,2012
135,Mila,F,123,2012
136,James,M,489,2012
137,Ava,F,464,2012
138,Kai,M,166,2012
139,Phoebe,F,121,2012
140,Cooper,M,455,2012
141,Sienna,F,423,2012
142,Angus,M,164,2012
143,Molly,F,120,2012
144,Jacob,M,455,2012
145,Ella,F,418,2012
146,Nathan,M,161,2012
147,Piper,F,115,2012
148,Liam,M,436,2012
149,Grace,F,417,2012
150,Chase,M,160,2012
151,Lara,F,113,2012
152,Alexander,M,425,2012
153,Sophia,F,409,2012
154,George,M,160,2012
155,Evelyn,F,112,2012
156,Benjamin,M,419,2012
157,Lily,F,378,2012
158,Connor,M,157,2012
159,Violet,F,111,2012
160,Isaac,M,384,2012
161,Zoe,F,338,2012
162,Edward,M,156,2012
163,Anna,F,109,2012
164,Ryan,M,369,2012
165,Emma,F,327,2012
166,Hugo,M,155,2012
167,Aaliyah,F,106,2012
168,Max,M,362,2012
169,Matilda,F,271,2012
170,Charles,M,149,2012
171,Victoria,F,104,2012
172,Daniel,M,350,2012
173,Hannah,F,269,2012
174,Jordan,M,148,2012
175,Madeleine,F,104,2012
176,Samuel,M,348,2012
177,Lucy,F,253,2012
178,Nate,M,148,2012
179,Ellie,F,104,2012
180,Charlie,M,343,2012
181,Ivy,F,247,2012
182,Toby,M,147,2012
183,Gabriella,F,103,2012
184,Jayden,M,324,2012
185,Isla,F,236,2012
186,Finn,M,140,2012
187,Poppy,F,99,2012
188,Xavier,M,318,2012
189,Scarlett,F,232,2012
190,Anthony,M,136,2012
191,Eliza,F,97,2012
192,Mason,M,315,2012
193,Jessica,F,219,2012
194,Hudson,M,136,2012
195,Eden,F,97,2012
196,Harrison,M,306,2012
197,Evie,F,217,2012
198,Ali,M,135,2012
199,Mikayla,F,96,2012
200,William,M,641,2011
201,Chloe,F,606,2011
202,Flynn,M,180,2011
203,Addison,F,131,2011
204,Lucas,M,594,2011
205,Ruby,F,595,2011
206,Connor,M,177,2011
207,Audrey,F,128,2011
208,Lachlan,M,579,2011
209,Olivia,F,557,2011
210,Zachary,M,176,2011
211,Molly,F,127,2011
212,Ethan,M,558,2011
213,Isabella,F,548,2011
214,Patrick,M,176,2011
215,Stella,F,124,2011
216,Oliver,M,549,2011
